title;authors;editor;collection;synopsis;bonus_content;price;actors;country;age_rating;original_title;duration;production_year;EAN;availability;distributor;media_type;dvd_zone;format_tv;format_cinema;publication_date;audio_track;subtitle_track;image_URL;in_stock;category;subcategory;subcategory_genre_1;subcategory_genre_2;subcategory_genre_3;subcategory_genre_4
Alice au Pays des Merveilles;Norman Z. Mcleod;Elephant Films;Cinéma MasterClass : La collection des Maîtres;La jeune Alice, agée de 12 ans, s'ennuie à mourir dans sa maison, ne pouvant pas profiter de la neige qui tombe dehors. Elle voudrait bien s'amuser, mais on la force à coudre. Profitant de l'absence des adultes, la jeune fille s'imagine que le miroir en haut de la cheminée est un passage vers un unvivers mervelleux. Elle passe de l'autre côté du miroir, vers un monde enchanté...;"Nouveau master restauré HD
Boîtier avec fourreau
Jaquette réversible avec affiche originale

Le film par Jean-Pierre Dionnet (10')
Bande-annonce d'époque
Dans la même collection";16.90 €;Charlotte Henry,Richard Arlen,Charles Ruggles,Edward Everett Horton,Edna May Oliver,May Robson,Ned Sparks,W.c. Fields,Roscoe Karns,Jack Oakie;USA;Tous publics;Alice in Wonderland;73 mn;1933;3700146543375;Disponible;ELEPHANT FILMS;DVD;ALL;4/3;1.33;25 aout 2020;Audio : Anglais DD 2.0mono;Sous-titrage : Français;https://images.epagine.fr/375/3700146543375_vid.jpg;En stock;Cinéma;Long métrage;Fantastique;;;
Happy !, intégrale, saisons 1 et 2;;ELEPHANT;;Ex-flic devenu tueur à gages et alcoolique, Nick Sax croit perdre la tête quand une licorne animée qu'il est le seul à voir le pousse à sauver une fillette enlevée par le père Noël.;;39.90 €;Christopher Meloni,Patton Oswalt,Ritchie Coster;ETATS-UNIS;AVERTISSEMENT;Happy !, intégrale, saisons 1 et 2;;;3700146543160;Disponible;ELEPHANT FILMS;6 DVD;2;;;25 aout 2020;;;https://images.epagine.fr/160/3700146543160_vid.jpg;Sur commande;Série TV;Série-feuilleton;Humoristique;Fantastique / Science-fiction;Policier;
Loups tendres et loufoques;Anaïs Sorrentino,Arnaud Demuynck,Hugo Frassetto,Pascale Hecquet,Rémi Durin;ARTE ÉDITIONS;;"Contient : - C'est moi le plus fort : Le loup a bien mangé. Rassasié, il part se promener dans la forêt, histoire de se faire confirmer par tout le monde que c'est bien LUI le plus fort ! - Trop petit loup : Un louveteau aussi fanfaron qu'attendrissant décide un beau jour qu'il est assez grand pour chasser tout seul. Il part à la recherche de ses premières proies, un peu trop grosses ou... plus malignes. - Grand loup et petit loup : Grand Loup vit bienheureux au pied de son arbre quand il voit surgir un Petit Loup bien décidé à lui tenir compagnie. Mais Grand Loup n'a que faire de compagnie. Il tient à son calme et à ses petites habitudes. Enfin, c'est ce qu'il croit... - C'est moi le plus beau : Un beau matin, l'incorrigible loup se lève de très bonne humeur. Il se fait beau, et part faire un tour pour que tout le monde puisse l'admirer, et affirmer que c'est bien LUI le plus beau ! - Le retour du grand méchant loup : Le Grand Méchant Loup est de retour, et a bien l'intention de reprendre ses bonnes habitudes ! Il déchante lorsqu'il croise le Petit Chaperon rouge avec un plateau de petits choux. ""Les temps changent"", lui lance la fillette. C'est en effet ce qu'il va découvrir - Promenons-nous : Cinq louveteaux jouent et taquinent Papa Loup qui se prépare à sortir pour les ""croquer"" ! Un amusement musical qui revisite la célèbre comptine. 
        Lire la suite
        Fermer";"Boîtier DVD avec fourreau

La chouette découvre trop petit loup (7')
Le Kamishibaï (16')
Présentation de ce petit théâtre japonais aux enfants
Trop petit loup en Kamishibaï
Le retour du grand méchant loup en Kamishibaï";14.90 €;;"Belgique;France";Tous publics;Loups tendres et loufoques;76 mn;2019;3453270028330;Disponible;ARCADES VIDEO;DVD;2;16/9 Anamorphique;;25 aout 2020;Audio : Français DD 2.0;;https://images.epagine.fr/330/3453270028330_vid.jpg;En stock;Animation;Dessin animé;Enfance / Jeunesse;;;
La Cravate;Etienne Chaillou,Mathias Théry;ARTE ÉDITIONS;;Bastien a vingt ans et milite depuis cinq ans dans le principal parti d'extrême-droite. Quand débute la campagne présidentielle, il est invité par son supérieur à s'engager davantage. Initié à l'art d'endosser le costume des politiciens, il se prend à rêver d'une carrière, mais de vieux démons resurgissent...;Boîtier DVD avec fourreau;19.90 €;Bastien Régnier,Franck De La Personne,Marine Le Pen,Florian Philippot,Eric Richermoz;France;Tous publics;La Cravate;97 mn;2020;3453270028354;Disponible;ARCADES VIDEO;DVD;2;16/9 Anamorphique;;25 aout 2020;Audio : Français DD 5.1, Français DD 2.0;;https://images.epagine.fr/354/3453270028354_vid.jpg;En stock;Documentaire;Documentaire;Politique / Géopolitique;;;
Il était un fois les gènes;Barak Goodman,Ken Burns;ARTE ÉDITIONS;L'odyssée des sciences;La série revient sur la fascinante évolution de la science génétique. Depuis l'expérience révolutionnaire de Gregor Mendel au XIXe siècle jusqu'au CRISPR, le fameux ciseau génétique découvert récemment, et l'espoir d'extraordinaires possibilités de modification de l'ADN au service de la médecine. La série aborde également les redoutables défis éthiques que posent cette nouvelle technologie et comment l'humanité va y répondre.;Boîtier DVD avec fourreau;19.90 €;;USA;Tous publics;The Gene : An Intimate History;120 mn;;3453270086828;Disponible;ARCADES VIDEO;DVD;2;16/9 Anamorphique;;25 aout 2020;Audio : Français DD 2.0;;https://images.epagine.fr/828/3453270086828_vid.jpg;En stock;Documentaire;Documentaire;Sciences / Médecine;;;
Dyana Gaye : Cinéaste de demain;Dyana Gaye;jhr Films;;"Contient : - Un transport en commun (48', 2009) :
Le temps d'un voyage de Dakar à Saint-Louis, les passagers d'un taxi brousse croisent leurs destins et se racontent en chansons.

- Deweneti (16', 2009) :
Dakar, Sénégal. Ousmane qui n'a pas sept ans mais gagne déjà sa vie en mendiant dans le centre de la capitale, se met en tête d'écrire au Père Noël.

- Une femme pour Souleymane (24', 2000) :
Souleymane, un jeune sénégalais arrivé à Paris trois ans auparavant, tente de surmonter sa solitude. Il s'invente alors une autre vie, une vie ordinaire.";"Entretien avec Dyana Gaye
Making of
Scènes coupées
Photos de tournage";19.90 €;Makena Diop,Isseu Niang,Kadiatou Sow,Umban Gomez De Kset,Mbègne Kassé,Anne Jeanine Barboza,Bigué N'doye,Antoinette Barry,Adja Fall,Antoine Diandy;France;Tous publics;Dyana Gaye : Cinéaste de demain;88 mn;;3545020069738;Disponible;ARCADES VIDEO;DVD;2;;;25 aout 2020;Audio : VOST DD 2.0;;https://images.epagine.fr/738/3545020069738_vid.jpg;En stock;Cinéma;Court métrage;;;;
Un divan à Tunis;Manele Labidi;Diaphana;;"Après avoir exercé en France, Selma, 35 ans, ouvre son cabinet de psychanalyse dans une banlieue populaire de Tunis. Au lendemain de la Révolution, la demande s'avère importante dans ce pays « schizophrène ». Mais entre ceux qui prennent Freud et sa barbe pour un frère musulman et ceux qui confondent séances tarifées avec ""prestations tarifées"", les débuts du cabinet sont mouvementés... Alors que Selma commence enfin à trouver ses marques, elle découvre qu'il lui manque une autorisation indispensable pour continuer d'exercer...";"Le film commenté par Manele Labidi et Golshifteh Farahani
Scènes coupées
Bande-annonce";19.90 €;Golshifteh Farahani,Majd Mastoura,Aïsha Ben Miled,Feryel Chammari,Hichem Yacoubi,Najoua Zouhair,Jamel Sassi,Ramla Ayari;"France;Tunisie";Tous publics;Un divan à Tunis;92 mn;2019;3545020069790;Disponible;ARCADES VIDEO;DVD;2;16/9 Anamorphique;;25 aout 2020;Audio : Français DD 5.1, Français DD 2.0;Sous-titrage : Français;https://images.epagine.fr/790/3545020069790_vid.jpg;En stock;Cinéma;Long métrage;Drame;Comédie;;
Le Procès de Viviane Amsalem;Ronit Elkabetz,Shlomi Elkabetz;Blaq Out;;Viviane Amsalem demande le divorce depuis trois ans, et son mari, Elisha, le lui refuse. Or en Israël, seuls les Rabbins peuvent prononcer un mariage et sa dissolution, qui n'est elle-même possible qu'avec le plein consentement du mari. Sa froide obstination, la détermination de Viviane de lutter pour sa liberté, et le rôle ambigu des juges dessinent les contours d'une procédure où le tragique le dispute à l'absurde, où l'on juge de tout, sauf de la requête initiale.;"Entretien avec Shlomi Elkabetz (14')
Making of (38')";14.90 €;Simon Abkarian,Gabi Amrani,Dalia Beger,Shmil Ben Ari,Abraham Celektar,Rami Danon;"Allemagne;France;Israël";Tous publics;Gett;115 mn;2014;3700782604164;Disponible;ARCADES VIDEO;DVD;2;16/9 Anamorphique;1.85;25 aout 2020;Audio : Hébreu DD 5.1, Hébreu DD 2.0;Sous-titrage : Français;https://images.epagine.fr/164/3700782604164_vid.jpg;En stock;Cinéma;Long métrage;Drame;;;
L'Institutrice;Nadav Lapid;Blaq Out;;Une institutrice décèle chez un enfant de 5 ans un don prodigieux pour la poésie. Subjuguée par ce petit garçon, elle décide de prendre soin de son talent, envers et contre tous.;"Entretien avec Nadav Lapid (8')
Moyen métrage : ""La petite amie d'Emile"" (2006, 48')";14.90 €;Sarit Larry,Avi Shnaidman,Lior Raz,Gilad Ben David,Ester Rada,Guy Oren;"France;Israël";Tous publics;Haganenet;120 mn;2014;3700782604157;Disponible;ARCADES VIDEO;DVD;2;16/9 Anamorphique;;25 aout 2020;Audio : Hébreu DD 5.1, Hébreu DD 2.0;Sous-titrage : Français;https://images.epagine.fr/157/3700782604157_vid.jpg;En stock;Cinéma;Long métrage;Drame;;;
Le Champion;Mark Robson;Rimini Editions;;Venu avec son frère à Los Angeles pour s'occuper d'un restaurant, Midge Kelly rencontre Tommy Haley, un manager qui va lui apprendre l'art de la boxe. Prêt à tout pour réussir, dénué de scrupules, Midge va devenir un champion. Mais le prix à payer sera très élevé.;"Boîtier DVD avec fourreau

Interview d'un spécialiste de Kirk Douglas";14.90 €;Kirk Douglas,Marilyn Maxwell,Arthur Kennedy,Paul Stewart,Ruth Roman,Lola Albright,Luis Van Rooten,Harry Shannon;USA;Tous publics;Champion;99 mn;1949;3760233155706;Disponible;ARCADES VIDEO;DVD;2;4/3;1.37;25 aout 2020;Audio : Français DD 2.0mono, Anglais DD 2.0mono;Sous-titrage : Français;https://images.epagine.fr/706/3760233155706_vid.jpg;En stock;Cinéma;Long métrage;Drame;;;
L'Exorciste III;William Peter Blatty;ESC Editions;;Près de vingt ans se sont écoulés depuis les tragiques évènements qui ont failli coûter la vie à la jeune Regan possédée par Satan. Le lieutenant Kinderman, témoin privilégié de cette affaire terrifiante, est depuis toujours resté en éveil non sans raison car le mal rôde toujours. Après une enquête serrée et quelques morts, Kinderman s'aperçoit que les nouveaux meurtres sont l'exacte réplique de ceux commis par un tueur fou mort douze ans plus tôt.;"Le film en version cinéma (110')
Boîtier Blu-ray avec fourreau

Entretien autour du film avec Christophe Lemaire par Linda Tahir (25')
Reportage d'époque autour du film (7')
Prologue (scène coupée) (2'44"")
Scènes coupées, scènes alternatives et bêtisiers (5'44"")
Entretiens d'époque avec le réalisateur William Peter Blatty, le producteur James Robinson, le présentateur Larry King, les acteurs C. Everett Koop, Ed Flanders et George C. Scott (exclusivité Blu-ray, 38'35"")
Bandes-annonces (2')
Spots TV (2'25"")";16.90 €;George C. Scott,Ed Flanders,Brad Dourif,Jason Miller,Nicol Williamson,Scott Wilson,Nancy Fish,George Dicenzo,Viveca Lindfors,Samuel L. Jackson;USA;Interdit aux moins de 12 ans;The Exorcist III;110 mn;1990;3701432000091;Disponible;ESC DISTRIBUTION;Blu-ray;B;16/9 Natif;1.85;19 aout 2020;Audio : Anglais DTSHD-MA 5.1, Français DTSHD-MA 2.0;Sous-titrage : Français;https://images.epagine.fr/091/3701432000091_vid.jpg;En stock;Cinéma;Long métrage;Horreur;;;
Seizure, la reine du mal;Oliver Stone;Extralucid Films;Extra Culte;L'écrivain Edmund Blackstone voit son pire cauchemar prendre vie lorsque les membres de sa famille et ses amis sont tués un à un par la Reine du Mal et ses serviteurs, un nain nommé Spider et un géant à la force surhumaine appelé Jackal. Est-ce un mauvais rêve ou la réalité ?;"Edition limitée et numérotée
Contient :
- le Blu-ray du film
- le DVD du film
Master Haute Définition restauré
Boîtier digipack avec fourreau

Entretien avec Julien Sévéon";24.90 €;Jonathan Frid,Martine Beswick,Joseph Sirola,Christina Pickles,Hervé Villechaize,Anne Meacham,Roger De Koven,Troy Donahue,Mary Woronov,Richard Cox;"Canada;USA";Public averti;Seizure!;94 mn;1974;3760247209600;Disponible;ESC DISTRIBUTION;Blu-ray;B;16/9 Natif;1.85;19 aout 2020;Audio : Français DTSHD-MA 2.0mono, Anglais DTSHD-MA 2.0mono;Sous-titrage : Français;https://images.epagine.fr/600/3760247209600_vid.jpg;En stock;Cinéma;Long métrage;Horreur;;;
Watchmen;Andrij Parekh,David Semel,Frederick E.o. Toye,Nicole Kassell,Steph Green,Stephen Williams;HBO;;"Tulsa, Oklahoma, de nos jours. Il y a 3 ans de cela, un groupe de suprématistes blancs appelés ""La septième Cavalerie"" s'est attaqué à tous les policiers de la ville ainsi qu'à leurs familles. Afin de protéger leur identité depuis cette attaque poétiquement surnommée ""La Nuit Blanche"" les policiers portent désormais un bandana jaune afin de conserver leur anonymat. Profondément marqués par cette nuit tragique, Angela Abar et le chef de la police de Tulsa, Judd Crawford, décident d'enquêter de concert sur ce groupuscule et ses adeptes.";"Présentation des personnages - Soeur Nuit, l'Homme Blond & Mirroir (3'06"")
Il pleut des calamars (1'58"")
Watchmen : masqués et dangereux (2'20"")
Le Comic Con 2019 à New York (36'49"")
Devenir Soeur Nuit (1'03"")
Watchmen : l'autre histoire (2'04"")
Watchmen : démasqués (16'33"")
Andrij Parekh sur la réalisation (1'03"")
Le Refuge des Calamars avec Tim Blake Nelson (2'31"")
Anatomie d'une scène de combat (2'32"")
Le Premier Justicier - Le Juge Masqué (11'47"")
Adrian Veidt : Le Roi Colossal (12'36"")
Aperçus - Les effets spéciaux de Watchmen (3'04"")
Notes du scénariste et dessinateur du roman graphique Watchmen Dave Gibbons (1'49"")
Court métrage de Rorschach (1'40"")
Sadiqua Bynum court, saute et chute pour Soeur Nuit (1'03"")";24.90 €;Regina King,Yahya Abdul-Mateen Ii,Tom Mison,Sara Vickers,Jeremy Irons,Andrew Howard,Louis Gossett Jr.,Jean Smart,Tim Blake Nelson,Dylan Schombing,James Wolk,Lily Rose Smith,Adelynn Spoon,Danny Boyd Jr.;USA;Accord parental;Watchmen;540 mn;2019;5051888250419;Disponible;WARNER HOME VIDEO;DVD;2;16/9 Anamorphique;1.78;19 aout 2020;Audio : Français DD 5.1, Anglais DD 5.1, Castillan DD 2.0;Sous-titrage : Français, Néerlandais, Castillan, Danois, Suédois, Norvégien, Finlandais;https://images.epagine.fr/419/5051888250419_vid.jpg;Sur commande;Série TV;Série-feuilleton;Fantastique / Science-fiction;Action / Aventure;;
Inception;Christopher Nolan;Warner Bros. Entertainment France;;"Dom Cobb est un voleur expérimenté - le meilleur qui soit dans l'art périlleux de l'extraction : sa spécialité consiste à s'approprier les secrets les plus précieux d'un individu, enfouis au plus profond de son subconscient, pendant qu'il rêve et que son esprit est particulièrement vulnérable. Très recherché pour ses talents dans l'univers trouble de l'espionnage industriel, Cobb est aussi devenu un fugitif traqué dans le monde entier qui a perdu tout ce qui lui est cher. Mais une ultime mission pourrait lui permettre de retrouver sa vie d'avant - à condition qu'il puisse accomplir l'impossible : l'inception. Au lieu de subtiliser un rêve, Cobb et son équipe doivent faire l'inverse : implanter une idée dans l'esprit d'un individu. S'ils y parviennent, il pourrait s'agir du crime parfait. Et pourtant, aussi méthodiques et doués soient-ils, rien n'aurait pu préparer Cobb et ses partenaires à un ennemi redoutable qui semble avoir systématiquement un coup d'avance sur eux. Un ennemi dont seul Cobb aurait pu soupçonner l'existence...
        Lire la suite
        Fermer";"Boîtier métal SteelBook
Contient :
- le Blu-ray du film
- le Blu-ray des bonus

Blu-ray du film : 
Mode ""Extraction"", insertion de modules making of en cours de visionnage (HD - 44'11"" - VOST) :
- L'origine d'Inception
- Le château japonais: le rêve s'écroule
- Désintégration du Café parisien
- Construire une architecture paradoxale
- Le train de marchandises
- Embuscade dans les rues de la ville
- Le bar qui s'incline
- Les couloirs en rotation
- La forteresse dans la montagne
- Simulation de l'apesanteur
- Les Limbes : la conception de l'espace des rêves
- L'explosion de la forteresse
- La musique des rêves
- Le partage des rêves
Accès BD-Live : bandes-annonces Warner (VOST)

Blu-ray des bonus :
Les coulisses du film (HD - VOST) :
- Les rêves : le cinéma du subconscient (44'29"")
- Inception : la mission Cobol (14'33"")
5.1 la bande originale d'Inception : 10 morceaux de la bande originale du film (DTS-HD MA 5.1 - 38'38"")
Extras :
- Galerie d'art conceptuel (32 dessins)
- Archive d'art promotionnel (12 affiches)
3 bandes-annonces (4'50"" - VO)
13 spots TV (11'28"" - VO)";14.90 €;Leonardo Dicaprio,Joseph Gordon-Levitt,Ellen Page,Tom Hardy,Ken Watanabe,Dileep Rao,Cillian Murphy,Tom Berenger,Marion Cotillard,Pete Postlethwaite,Michael Caine,Lukas Haas;USA;Tous publics;Inception;148 mn;2010;5051888252703;Disponible;WARNER HOME VIDEO;Blu-ray;"A;B;C";16/9 Natif;2.4;19 aout 2020;Audio : Anglais DTSHD-MA 5.1, Français DD 5.1, Allemand DD 5.1, Italien DD 5.1;Sous-titrage : Français, Néerlandais, Italien, Allemand;https://images.epagine.fr/703/5051888252703_vid.jpg;En stock;Cinéma;Long métrage;Science-Fiction;Thriller;;
Arythmie;Boris Khlebnikov;Epicentre Films;;Katia et Oleg sont un couple d'urgentistes en Russie. Oleg est brillant, mais son métier l'absorbe. Confronté chaque jour à des cas difficiles, l'alcool l'aide à décompresser. Katia ne se retrouve plus dans cette relation. A l'hôpital, un nouveau directeur applique des réformes au service de la rentabilité. En réaction, Oleg s'affranchit de toute limite et l'équilibre du couple vacille plus encore.;Bande-annonce;19.90 €;Aleksandr Yatsenko,Irina Gorbacheva,Nikolay Shrayber,Maksim Lagashkin,Lyudmila Motornaya,Sergey Nasedkin,Aleksandr Samoylenko,Albina Tikhanova;Russie;Tous publics;Aritmiya;116 mn;2019;3545020069806;Disponible;ARCADES VIDEO;DVD;2;16/9 Anamorphique;;25 aout 2020;Audio : Russe DD 5.1, Russe DD 2.0;Sous-titrage : Français, Anglais;https://images.epagine.fr/806/3545020069806_vid.jpg;En stock;Cinéma;Long métrage;Drame;Comédie;;
Yakari;;Citel Vidéo;;Courageux, malicieux, Yakari vit libre et heureux dans la nature sauvage. Grand Aigle, son totem, lui a fait un don merveilleux : parler aux animaux. Accompagne Yakari dans ses aventures incroyables, et aide-le à sauver les animaux en danger en sillonnant la Grande Prairie ! À ses côtés, tu feras la connaissance d'un couple de polatouche, d'un bassaris et de plein d'autres animaux extraordinaires !;;16.90 €;;France;Tous publics;Yakari;;2017;3309450045744;Disponible;ESC DISTRIBUTION;DVD;2;16/9 Anamorphique;1.78;19 aout 2020;Audio : Français DD 2.0;;https://images.epagine.fr/744/3309450045744_vid.jpg;En stock;Animation;Dessin animé;Action / Aventure;Enfance / Jeunesse;;
Le Prestige;Christopher Nolan;Warner Bros. Entertainment France;;Londres en 1878. Robert Angier et Alfred Borden sont deux magiciens surdoués, promis dès leur plus jeune âge à un glorieux avenir. Une compétition amicale les oppose d'abord l'un à l'autre, mais l'émulation tourne vite à la jalousie, puis à la haine. Devenus de farouches ennemis, les deux rivaux vont s'efforcer de se détruire l'un l'autre en usant des plus noirs secrets de leur art. Cette obsession aura pour leur entourage des conséquences dramatiques...;"Boîtier métal SteelBook
Contient :
- le Blu-ray du film
- le Blu-ray des bonus

Blu-ray des bonus :
""Le carnet du scénariste : Le tour de main de Christopher Nolan"" (HD - 19'32"" - VOST) :
- Le carnet du scénariste
- La magie du passé
- Le labyrinthe visuel
- Métaphores de tromperies
- Tesla : l'homme qui a inventé le 20ème siècle
- Résonnances
""L'art du film"" (galeries photos - HD) :
- Film (4'20"")
- Costumes et plateau (4'30"")
- Les coulisses (3'30"")
- Affiches (1'40"")
Bande-annonce du film (VO)";14.90 €;Hugh Jackman,Christian Bale,Michael Caine,Scarlett Johansson,Rebecca Hall,David Bowie,Piper Perabo;"Royaume-Uni;USA";Tous publics;The Prestige;130 mn;2006;5051888252727;Disponible;WARNER HOME VIDEO;Blu-ray;"A;B;C";16/9 Natif;2.4;19 aout 2020;Audio : Français DD 5.1, Anglais DD 5.1, Castillan DD 5.1, Allemand DD 5.1, Audiodescription En  DD 2.0;Sous-titrage : Français, Anglais, Castillan, Danois, Néerlandais, Finlandais, Allemand, Norvégien, Suédois;https://images.epagine.fr/727/5051888252727_vid.jpg;En stock;Cinéma;Long métrage;Thriller;Drame;;
2001 : l'odyssée de l'espace;Stanley Kubrick;Warner Bros. Entertainment France;Titans of Cult;"En 1968, sortait le film qui allait bouleverser le monde de la science-fiction. Désormais, il y aurait un 'avant' et un ""après"" 2001, L'Odyssée de L'Espace. Ce chef-d'oeuvre échappe d'ailleurs totalement au temps qui passe. Malgré les progrès techniques réalisés depuis sa sortie dans les effets spéciaux, le film n'a pas pris une ride, prouvant de manière éclatante le génie visionnaire de Maître Kubrick.";"Coffret ""Titans of Cult"" avec boîtier métal SteelBook collector inédit
Film remasterisé 4K à partir du négatif 65mm original et mixage audio cinéma 6 pistes original de 1968 (restauration supervisée par Christopher Nolan)
Contient :
- l'Ultra HD Blu-ray 4K du film (en HDR Dolby Vision et HDR10)
- le Blu-ray du film (AVC - VF DD 5.1 / VOST DTS-HD MA 5.1 - piste restaurée et remixée + piste 1968)
- le Blu-ray des bonus
- un pins exclusif ""monolithe/homme-singe""
- un patch exclusif ""United States Astronauts Agency - Clavius Base""

Ultra HD 4K :
Commentaire audio de Keir Dullea et Gary Lockwood (VO sans ST)

Blu-ray du film :
Commentaire audio de Keir Dullea et Gary Lockwood (VO sans ST)

Blu-ray des bonus :
""Dans les coulisses d'un mythe"" (2001 - Channel Four - 43'08"" - VOST)
""Sur les épaules de Kubrick : le leg de 2001"" (21'25"" - VOST)
""Vision d'un passé futur : la prophétie de 2001"" (21'31"" - VOST)
""2001, l'Odyssée de l'espace - Un aperçu dans les coulisses de l'avenir"" (1968 - 23'11"" - VOST)
""Qu'y a-t-il au-delà ?"" (20'42"" - VOST)
""2001 : effets spéciaux et conception graphique"" (9'33"" - VOST)
""Regardez : Stanley Kubrick !"" (3'15"" - VOST)
Interview de Stanley Kubrick par Jeremy Bernstein en 1966 (audio - 76'31"" - VO sans ST)
Bande-annonce originale (1'51"")";29.90 €;Keir Dullea,Gary Lockwood,William Silvester,Leonard Rossiter,Robert Beatty,Margaret Tyzack,Sean Sullivan;Royaume-Uni;Tous publics;2001: A Space Odyssey;148 mn;1968;5051889674351;Disponible;WARNER HOME VIDEO;4K Ultra HD;UHD sans zone / Blu-ray zone ABC;16/9 Natif;2.2;19 aout 2020;Audio : Anglais DTSHD-MA 5.1, Français DD 5.1, Allemand DD 5.1, Espagnol (Amérique L DD 5.1, Castillan DD 5.1, Italien DD 5.1, Audiodescription En  DD 2.0mono, Portugais DD 2.0, Polonais DD 2.0;Sous-titrage : Français, Espagnol (Amérique L, Castillan, Portugais, Brésilien, Norvégien, Polonais, Tchèque, Suédois, Croate, Grec, Hongrois, Russe, Turc, Danois, Néerlandais, Finlandais, Coréen, Hébreu, Roumain, Thaïlandais, Arabe;https://images.epagine.fr/351/5051889674351_vid.jpg;En stock;Cinéma;Long métrage;Science-Fiction;;;
Batman - The Dark Knight Rises;Christopher Nolan;Warner Bros. Entertainment France;;"Il y a huit ans, Batman a disparu dans la nuit : lui qui était un héros est alors devenu un fugitif. S'accusant de la mort du procureur-adjoint Harvey Dent, le Chevalier Noir a tout sacrifié au nom de ce que le commissaire Gordon et lui-même considéraient être une noble cause. Et leurs actions conjointes se sont avérées efficaces pour un temps puisque la criminalité a été éradiquée à Gotham City grâce à l'arsenal de lois répressif initié par Dent. Mais c'est un chat - aux intentions obscures - aussi rusé que voleur qui va tout bouleverser. À moins que ce ne soit l'arrivée à Gotham de Bane, terroriste masqué, qui compte bien arracher Bruce à l'exil qu'il s'est imposé. Pourtant, même si ce dernier est prêt à endosser de nouveau la cape et le casque du Chevalier Noir, Batman n'est peut-être plus de taille à affronter Bane...
        Lire la suite
        Fermer";"Boîtier métal SteelBook
Certaines séquences du film tournées au format Imax, apparaissent au ratio 1.78 au lieu de 2.40
Contient :
- le Blu-ray du film
- le Blu-ray des bonus

Blu-ray des bonus :
""La Batmobile"" : les 5 Batmobiles réunies pour la première fois dans un documentaire révélant tous les aspects de ce véhicule mythique (HD - 58'17"" - VOST)
""La fin du chevalier"" (HD - VOST) :
- Production :
. ""Le prologue : détournement en haute-altitude"" : découvrez les dessous de la séquence d'ouverture (7'52"")
. ""Retour à la Batcave"" : au coeur de la reconstruction de la Batcave avec des images en accéléré, parsemées d'interviews et de commentaires (3'37"")
. ""Gotham Souterrain"" : Chris Nolan et les chefs décorateurs discutent et construisent le repaire de Bane (2'34"")
. ""La Bat"" : retour sur la création du nouveau moyen de transport apporté par Nolan (11'08"")
. ""Batman vs Bane"" : les acteurs et l'équipe du film révèlent la manière dont ils ont préparé et tourné la scène de combat épique entre Batman et Bane (6'07"")
. ""Arsenal accepté"" : découvrez comment furent utilisés les effets spéciaux et les unités miniatures afin de simuler une démolition de plafond par le Tumbler (3'19"")
. ""Jour de destruction"" : l'équipe du film décrit la séquence de destruction du stade de Gotham (6'44"")
. ""La démolition d'une rue"" : découvrez comment une série d'effets spéciaux très pratiques furent utilisés pour simuler la démolition d'une rue (4'15"")
. ""Le gouffre"" : les secrets de la construction de deux immenses plateaux de tournage verticaux (3'04"")
. ""Le chant"" : Christopher Nolan et Hans Zimmer reviennent sur la création du chant qui sera repris pour le thème musical de Bane (5'19"")
. ""Guerre à Wall Street"" : observez la coordination et la production de la scène de bataille à Manhattan (6'40"")
. ""La course au réacteur"" : l'orchestration par l'équipe du film de la séquence de poursuite, avec plusieurs Tumblers et Batpods (7'52"")
- Personnages :
. ""Le voyage de Bruce Wayne"" : plongez au coeur de l'histoire et des choix thématiques qui structurent le dernier chapitre du voyage de Bruce Wayne. Avec les interviews de Chistopher Nolan, Jonah Nolan, David Goyer, Emma Thomas (8'53"")
. ""L'expiation de Gotham"" : découvrez comment l'équipe du film réinventa le personnage de Bane (10'05"")
. ""Un personnage féminin"" : discussion sur le challenge de la création du personnage de Selina Kyle (9'26"")
- Reflections :
. ""Ombres et lumière en format large"" : focus sur la direction photographique du film, les lieux de tournage et la captation en Imax (5'37"")
. ""La fin d'une légende"" : l'équipe du film évoquent le fait d'avoir travailler sur The Dark Knight Rises, et leur participation sur la saga (9'04"")
1 teaser et 3 bandes-annonces (HD - 8'35"" - VO)
Galerie d'affiches (31)";14.90 €;Christian Bale,Gary Oldman,Tom Hardy,Joseph Gordon-Levitt,Anne Hathaway,Marion Cotillard,Morgan Freeman,Michael Caine;USA;Tous publics;The Dark Knight Rises;165 mn;2012;5051888252680;Disponible;WARNER HOME VIDEO;Blu-ray;"A;B;C";16/9 Natif;2.4;19 aout 2020;Audio : Anglais DTSHD-MA 5.1, Français DD 5.1, Audiodescription En  DD 5.1, Italien DD 5.1, Allemand DD 5.1, Castillan DD 5.1, Thaïlandais DD 5.1, Anglais DD 2.0;Sous-titrage : Français, Espagnol, Néerlandais, Suédois, Norvégien, Finlandais, Danois, Islandais, Thaïlandais, Chinois (Mandarin), Cantonais, Coréen, Indonésien;https://images.epagine.fr/680/5051888252680_vid.jpg;En stock;Cinéma;Long métrage;Action;Thriller;;
